blurb,name,usd_pledged,url,Weight
How do you turn this damn thing off?!? Puzzle platelets of light that turn on and off the lights depending upon its configuration.,LightBoxÂ³,25099.109,https://www.kickstarter.com/projects/1400869672/lightbox3,3.97837E-05
Our intention is to build an unprecedented monument to creativity and human endeavor dedicated to Kickstarter and now available in LEGO,INTO MYSTERY:   Reveal,14704.53,https://www.kickstarter.com/projects/1400869672/into-mystery-reveal,2.33076E-05
Make special mini missives for friends and family. Surprise and delight them all year long with our new themed sets! And rubber stamps!,Worlds Smallest Post Service Kit - Special Editions!,28650,https://www.kickstarter.com/projects/leafcutterdesigns/worlds-smallest-post-service-kit-special-editions,4.5412E-05
"214 cities, 5 continents unified in one single map.",The World Metro Map,104249,https://www.kickstarter.com/projects/1960956629/the-world-metro-map,0.000165241
"Unique, eco-friendly sketchbooks for people who believe in drawing.",Resketch: a new kind of sketchbook,52668.43,https://www.kickstarter.com/projects/shawnimal/resketch-a-new-kind-of-sketchbook,8.34828E-05
"For artists, sculptors, model-makers, doll clothes designers,animators & photographers",Armature Nine - Can it go retail?,33584.469,https://www.kickstarter.com/projects/451963128/armature-nine-can-it-go-retail,5.32335E-05
"Awesome figure with hidden secrets. High quality, hand-made with bronze finish, a unique piece for Lovecraft collectors. Lim. Ed.",Cthulhu Secret IDOL,13220.013,https://www.kickstarter.com/projects/cthulhuproject/cthulhu-secret-idol,2.09546E-05
An entirely hand-inked oracle deck created for meditation and guidance in discovering your authentic self and the Creative Hero within.,Kickstarter Gold: Supra Beyond the Otherworlds. An Oracle.,67272.352,https://www.kickstarter.com/projects/1244376122/kickstarter-gold-supra-beyond-the-otherworlds-an-o,0.000106631
"An entirely hand-painted deck that gives new meaning to the term, Wild Card!",PAGAN  Custom Playing Cards,58924.012,https://www.kickstarter.com/projects/1244376122/pagan-custom-playing-cards,9.33983E-05
Blueblood Redux â A hand-drawn deck that is blue through and through. One last chance to capture these indigo monarchs!,Blueblood Redux Limited Edition Playing Cards,28558,https://www.kickstarter.com/projects/1244376122/blueblood-redux-limited-edition-playing-cards,4.52662E-05
Two artistic styles â Op Art and Woodcut â come together to create one completely original playing card deck.,ROYAL OPTIK Playing Card Deck,50872.02,https://www.kickstarter.com/projects/1244376122/royal-optik-playing-card-deck,8.06353E-05
Wear You Live is a civic-minded design and apparel line focused on creating unique ways for anyone to talk about their city.,Wear You Live,36176,https://www.kickstarter.com/projects/cityfabric/wear-you-live,5.73412E-05
"Nerdtacular 13 is a Frogpants community event founded and run by artist and podcaster, Scott Johnson.  Held this year on July 5 & 6.",The Nerdtacular 2013 Fan Event!,48459.09,https://www.kickstarter.com/projects/1484095571/the-nerdtacular-2013-fan-event,7.68107E-05
"Nerdtacular is a Frogpants community event founded and run by artist and podcaster, Scott Johnson.  Held this year on June 23rd, 2012.",Nerdtacular 2012 Fan Event!,21032.57,https://www.kickstarter.com/projects/1484095571/nerdtacular-2012-fan-event,3.33379E-05
Mr. and Mrs. FlipBooKit bring you rare and unique creations -- that you can personalize!,FlipbooKit - Mechanical Marvels & Flip-Hat,23000,https://www.kickstarter.com/projects/flipbook/flipbookit-hats-and-mechanical-marvels,3.64564E-05
"From Shire Post Mint, these new brass coins are made to emulate gold coins. Wed like to raise enough money to do some sets in 22k gold",Game of Thrones Westeros Golden Dragon coins,20794,https://www.kickstarter.com/projects/shirepostmint/game-of-thrones-westeros-golden-dragon-coins,3.29598E-05
